Conference|Place|Date|link
Suzhou Workshop on Matroid Theory|Suzhou, China|July 2024|https://people.math.wisc.edu/~lmaxim/Suzhou24.html
Taipei Conference in Representation Theory VII|Taipei|December 2023|https://ncts.ntu.edu.tw/events_2_detail.php?nid=426
